Q,A1,A2,A3,A4,Anum
想像力は人間の精神にとって----（不可欠）なものだ。,導く,頼る,基本的な,支配する,3
彼の右足は包帯で----かれていた。,巻かれた,破られた,満足した,閉じられた,1
----はどの方角から吹いていますか？,涙,驚き,瞬間,風,4
クジラは哺乳類に----する。,混ぜる,頼る,存在する,属する,4
先生は生徒たちの進歩に----していた。,反応した,満足した,～かなと思った,驚いた,2
そのランナーはトレーニングの後、激しく----していた。,逃げている,隠れている,呼吸している,援助している,3
私を子供のように----わないで。,調和する,扱う,レース,許す,2
----の時間に会いましょう。,典型的な,いつもの,毎日の,申し出,2
アメリカはアジア諸国との----を増やしている。,援助,貿易,価格,販売,2
彼らは燃えている建物から----た。,逃げた,救助した,保護した,隠れた,1
この鉛筆を2----いただけますか？,セント,トン,パーセント,ダース,4
私たちはその結果に----いた。,満足させる,驚くべき,満足した,驚いた,4
2つの計画のうち、私は----の方が好きだ。,次の,前方へ,前者の,以前の,3
私は先生にたくさんの----をしたことを後悔した。,手がかり,神秘,冗談,いたずら,4
私は疲れていて、これ以上----へは歩けない。,前者の,後者の,中心の,さらに遠くへ,4
雪の----みで枝が折れた。,太った,厚い,光景,重さ,4
私は彼を偉大な科学者として----している。,正直な,費用,吸収する,尊敬する,4
私は空の色を作るために青い絵の具を白と----た。,混ぜた,出席した,保存した,維持した,1
彼女はまだ金銭面で両親に----っている。,申し出る,（費用が）かかる,頼る,出席する,3
彼は----を信じている。,厚い,太った,薄い,神,4
私たちはシカゴからニューヨークへの----便に乗った。,基本的な,高価な,国内の,普遍的な,3
「彼女は歌が上手だね。」「ああ、----。」,ほとんど,しかしながら,かなり,実に、全く,4
----な人は決してそんなことはしないだろう。,敏感な,愚かな,勇敢な,正直な,4
この壺は大変な----がある。,貿易,価値,高価な,販売,2
彼は自分が無実であることを私に----させようとした。,援助,題名,吊るす,納得させる,4
私たちは学校で----知識の多くを学ぶ。,吸収する,裸の,基礎的な,価値,3
----のニンジンを食べることは視力に良い。,根,生の,敏感な,裸の,2
私たちの体の約65----は水だ。,実に,トン,パーセント,セント,3
これらの生物は海----に住んでいる。,海岸,底,大洋,砂,2
私はサッカーよりも----野球が好きだ。,むしろ,実に,ほとんど,全く,1
夏には私たちは----着をする。,光景,重さ,太った,薄い,4
私が微笑むと----、彼は微笑み返した。,どこにも～ない,どこでも,どんなに～でも,～するときはいつでも,4
夏の間、私は----配達の仕事をした。,トピック,新聞,冒険,封筒,2
ゴスペルはアフリカ系アメリカ人の宗教音楽にその----を持つ。,独創的な,コピー,ルーツ、根,題名,3
私は----の腕に暖かい日差しを感じた。,裸の、むき出しの,底,独創的な,高価な,1
火星に生命は----するか？,維持する,存在する,援助する,警備する,2
彼は夕食後に黄色と赤のカプセルを----んだ。,吸収した,探した,転がった,飲み込んだ,4
ロンドンに----たら電話して。,導く,着く,吊るす,行う,2
川の流れを変えることは多くの問題を----した。,引き起こした,反応した,認識した,扱った,1
車が私たちに----を跳ねかけた。,草,泥,大洋,どこかで,2
宇宙がどのように創造されたかは依然として----のままだ。,いたずら,謎、神秘,冒険,手がかり,2
彼は手助けのお返しに1----も求めなかった。,メートル,セント,ダース,トン,2
聴衆は通常、良い講演者にはすぐに----する。,満足させる,受け入れる,認識する,反応する,4
私はレポートの----を3部とった。,販売,根,洞窟,コピー,4
彼女は笑顔で私に----した。,納得させた,吸収した,挨拶した,申し出た,3
私たちはその壁に絵を----けるつもりだ。,掛ける,必要な,納得させる,支配する,1
そのピラミッドの----はどれくらいですか？,重さがある,光景,高さ,高い,3
