Q,A1,A2,A3,A4,Anum
This dance has its ----- in Okinawa.,middle,origin,raw,center,2
We ----- our son to use the family car.,confirmed,allowed,recognized,matched,2
I'll ----- you to the meeting room.,offer,forgive,dive,lead,4
They had a ----- over the problem.,match,race,sight,quarrel,4
I'll go ----- you want.,wherever,quite,rather,however,1
The hall is ----- full.,satisfied,closed,nearly,maintained,3
She was born in the ----- half of the 18th century.,ahead,central,latter,further,2
The signal for a ----- to start is often the firing of a gun.,treatment,heaven,quarrel,race,4
I ----- my jacket on a nail.,wound,caused,closed,tore,4
"He leaves his office door open, ----- cold it is.",exactly,however,whenever,wherever,2
The company is moving to new offices in ----- London.,latter,central,further,ahead,2
Thousands of people ----- against discrimination.,rescued,escaped,protested,hid,3
A loud ----- rose from the fans in the stadium.,mystery,greet,brave,cheer,4
What is a ----- English breakfast?,honest,adventure,original,typical,4
They ----- for relics on the bottom of the sea.,conduct,forgive,convince,dive,4
The beetle is about fifteen ----- long.,tons,centimeters,miles,meters,4
Imagination is ----- to the human mind.,lead,depend,fundamental,control,3
His right leg was ----- with a bandage.,wound,torn,satisfied,closed,1
Which direction is the ----- blowing from?,tear,surprise,moment,wind,4
Whales ----- to mammals.,mix,depend,exist,belong,4
The teacher was ----- with the students' progress.,reacted,satisfied,wondered,surprised,2
The runner was ----- hard after training.,escaping,hiding,breathing,aiding,3
Don't ----- me like a child.,match,treat,race,allow,2
I'll meet you at the ----- time.,typical,usual,daily,offer,2
America is increasing ----- with Asian countries.,aid,trade,price,sale,2
They ----- from the burning building.,escaped,rescued,protected,hid,1
May I have two ----- of these pencils?,cents,tons,percent,dozen,4
We were ----- at the result.,satisfying,surprising,satisfied,surprised,4
"Of the two plans, I prefer the ----- one.",following,ahead,former,previous,3
I regretted having played so many ----- on my teacher.,clues,mysteries,jokes,tricks,4
I'm tired and can't walk any -----.,former,latter,central,further,4
The ----- of the snow broke the branch.,fat,thick,sight,weight,4
I ----- him as a great scientist.,honest,cost,absorb,respect,4
I ----- blue paint with white to make the color of the sky.,mixed,attended,preserved,maintained,1
She still ----- on her parents for money.,offers,costs,depends,attends,3
He believes in -----.,thick,fat,thin,God,4
We took a ----- flight from Chicago to New York.,fundamental,expensive,domestic,universal,3
"""She is a good singer.""  ""Yes, -----.""",nearly,however,rather,indeed,4
An ----- man would never do such a thing.,sensitive,stupid,brave,honest,4
This pot is of great -----.,trade,value,expensive,sale,2
He tried to ----- me that he was innocent.,aid,title,hang,convince,4
We learn much of our ----- knowledge at schools.,absorb,bare,basic,value,3
Eating ----- carrots is good for your eyesight.,root,raw,sensitive,bare,2
About 65 ----- of our body is water.,indeed,tons,percent,cents,3
These creatures live at the sea -----.,coast,bottom,ocean,sand,2
I like baseball ----- than soccer.,rather,indeed,nearly,quite,1
In the summer we wear ----- clothing.,sight,weight,fat,thin,4
"----- I smiled, he smiled back.",Nowhere,Wherever,However,Whenever,4
During the summer I worked delivering -----.,topics,newspapers,adventures,envelopes,2
Gospel has its ----- in African-American religious music.,original,copy,roots,title,3
I felt the warm sun on my ----- arms.,bare,bottom,original,expensive,1
Does life ----- on Mars?,maintain,exist,aid,guard,2
He ----- a yellow-and-red capsule after supper.,absorbed,searched,rolled,swallowed,4
Call me when you ----- London.,lead,reach,hang,conduct,2
Changing the course of the river ----- many problems.,caused,reacted,recognized,treated,1
The car splashed ----- all over us.,grass,mud,ocean,somewhere,2
How the universe was created still remains a -----.,trick,mystery,adventure,clue,2
He didn't ask for a ----- in return for his help.,meter,cent,dozen,ton,2
An audience usually ----- readily to a good lecturer.,satisfies,accepts,recognizes,reacts,4
I made three ----- of my report.,sales,roots,caves,copies,4
She ----- me with a smile.,convinced,absorbed,greeted,offered,3
We'll ----- the picture on that wall.,hang,necessary,convince,control,1
What's the ----- of the pyramid?,weigh,sight,height,high,3
