Q,A1,A2,A3,A4,Anum
"""Can I help you?"" ""Yes, I'm ---- a two-room apartment for under 60,000 yen per month.""",familiar with,cutting down,looking for,writing down,3
I ---- in the maze of narrow alleys.,covered,figured out,broke out,got lost,4
Do you have ---- for a stomachache?,breath,disease,medicine,wound,3
She ---- her baby in a blanket.,completed,added,weapped,packed,3
The car was coompletely ---- with mud.,compared,disinguished,covered,chosen,3
The ---- has a wonderful pottery collection.,item,museum,stage,statue,2
Some bacteria help to ---- the nutrients in dead plant and animal materials.,discover,design,recycle,hate,3
The fire completely ---- the business district.,scored,destroyed,hurt,experienced,2
He made it ---- his friends that he was going to marry her.,familiar with,lost,pleased with,known to,4
"When his refrigerator ----, he repaired it by himself.",did without,figured out,broke down,depended on,3
The two scholars published an identical theory ----.,at first,by now,on time,at the same time,4
This is a ---- matter between you and me.,term,personal,scale,diifference,2
The station bus goes by every ---- of an hour.,couple,quarter,single,piece,2
The novel is ---- an actual event.,depend on,lost,based on,familiar with,3
"""I'm no ---- the violin. I should just quit."" ""Don't give up now. You'll get better.""",good at,afraid of,short of,pleased with,1
She successfully ---- the training program.,recycled,disinguished,completed,decorated,3
I was twenty minutes ---- the meeting because I missed the train by seconds.,lost,afraid of,short of,late for,4
---- students live in the dormitory.,Full of,Hundreds of,Quite a little,Most of,2
The important thing is to learn from your ----.,correct,personal,false,mistakes,4
Such magazines have a great ---- on children.,imagination,influence,effort,mental,2
May I go home? I have a terrible ----.,mental,blood,cure,headache,4
You should make every ---- to learn English.,result,blood,effort,experience,3
Algeria became ---- from France in 1962.,responsible,lonely,independent,success,3
The teacher yelled at me yesterday because I did not finish my report ----.,by now,in time,at the same time,at first,2
Stress is one of the ---- that can throw bodies out of balance.,scores,scales,degrees,conditions,4
The news that her son survived the accident ---- her up.,bred,added,created,cheered,4
I absolutely ---- a room full of cigarette smoke.,attack,hate,separate,decorate,2
Having a global vision will be important for your personal ----.,succeed,successful,successfully,success,4
"I didn't see ----, but now I understand why you like him so much.",in time,at first,for the first time,In the end,2
The world record was previously held by an Ethiopian ----.,personal,physics,effort,athlete,4
A bus driver is ---- for the safety of the passengers.,experience,responsible,influence,effort,2
"Fortunately, he was saved from the ---- house.",burning,shining,blowing,bursting,1
"This is not my bag! it ---- mine, but it isn't.",looks after,looks up,looks up to,looks like,4
I ---- to the noise of rain this morning.,cut down,looked up,broke up,woke up,4
"The police ---- the house, but there was no sign of a struggle.",wrote to,broke out,figured out,looked around,4
Please accept my sincere ---- on your recovery from illness.,prefers,statues,stages,congratulations,4
They moved to a new house a ---- of years ago.,twice,couple,single,double,2
The Porsche has a maximum ---- of 200 mph.,speed,score,favor,effort,1
Exercise transforms the level of ---- health dramatically.,medicine,medical,mental,physics,3
You have to ---- how to solve the math problem for yourself.,figure out,break out,run away,cheer up,1
Let's ---- the map out on the desk.,blow,spread,burst,shine,2
You should ---- on drinking alcohol to keep your health.,do without,run away,cut down,depend,3
It took three hours to fit together the ---- of a jigsaw puzzle.,pieces,background,pair,couple,1
She ---- her parents about her new job.,wrote to,grew up,cut down,broke out,1
This program was ---- especially for beginners.,bred,printed,decorated,desigened,4
I have only ---- money left.,a little,quite a few,a small number of,most of,1
The museum is arranging a special ---- of Vincent van Gogh's works.,quarter,exhibition,bit,stage,2
It makes no ---- to me what time you leave today.,speed,term,difference,imagination,3
He was seriously ---- in a traffic accident.,shot,blood,lonely,hurt,4
He has long ---- in computer programming.,desease,result,wound,experience,4
Water freezes at 32 ---- Fahrenheit.,degrees,terms,conditions,scales,1
He wished to become rich ---- without effort.,at once,so far,on time,full of,1
The committee made ---- recommendations for improving safety standards.,a little,a large number of,quite a little,full of,2
A pipe had ---- in the kitchen and flooded the floor.,shone,lost,burst,blown,3
Computer hackers ---- a computer system a NASA.,ran out of,cheered up,run away from,broke into,4
She started violin lessons ---- three.,in time for,at the end of,at last,at the age of,4
War ---- between Russia and Ukraine.,carried out,broke into,found out,broke out,4
There were faces not ---- me.,known as,familiar to,familiar with,late for,2
"In japan, trains usually arrive ----.",at once,At the same time,on time,after a while,3
How can you ---- this wine with a good French wine?,mistake,compare,distinguish,prefer,2
"""I'm sorry, I sat on your glasses by mistake."" ""Don't worry, I have another ----.""",pair,mistake,million,bit,1
Ukrainian people are ---- for their country.,killing,attacking,hurting,fighting,4
He was badly ---- in the fight.,disease,cured,breathed,wounded,4
The hall was completely ---- with people.,added,covered,wrapped,packed,4
The world market was ---- 5 million barrels of oil a day.,known to,fond of,short of,afraid of,3
"You may not succeed, but it is important to ----.",carry out,complete,break out,do your best,4
"When I meet someone ----, I input their phone numbers into my cell phone.",for the first time,right away,at first,at once,1
It must have been returned do the owner ----.,in a minute,by now,at the same time,so far,2
He looked ---- your compliment.,familiar to,pleased with,afraid of,good at,2
Many soldiers were ---- in battle.,destroyed,attacking,success,killed,4
I always try to ---- all my ideas in notebooks.,add,discover,breed,write down,4
The diesel engine was ---- by Rudolf Diesel.,invented,wrapped,covered,bred,1
Last year 1.3 ---- passengers took a fight in an airplane.,billion,pair,false,private,1
