Q_ja,A1_ja,A2_ja,A3_ja,A4_ja,Anum
教授は自分の理論を証明することに-----。,失敗した,苦しんだ,けがをした,もたれた,1
自転車のタイヤのインナー-----を交換してもらった。,板,管,形,模様,2
京都に新しい店がオープンすることを-----喜んでいる。,発表している,アナウンサー,発表,発表する,4
-----は出発の30分前に搭乗するよう求められる。,乗客たち,医者たち,事務員たち,親戚たち,1
彼は財布をポケットに-----た。,離れて,上へ,～の中に,外へ,3
「私のコンピューターを見て、どこが悪いか教えてください」「-----、私には画面に問題があるように見えます。」,確かに,実は,たぶん,おそらく,1
一部の昆虫は非常に小さいので、-----見ることができる。,不可能,ほとんど～ない,たぶん,ほとんど,2
彼が私を助けに来てくれることを-----している。,確信,未知,狩った,刺された,1
会議中に電話が-----。,鳴らされた,鳴っている,鳴った,鳴る,3
車が-----状態だったので嬉しかった。,余分な,全ての,等しい,完璧な,4
そのニュースはなんて-----なんだ！,興味深いことに,驚くべき,興味がある,驚いた,2
学生の皆さんは-----を誇りに思うべきだ。,彼ら自身,あなた自身,あなたがた自身,彼自身,3
彼はインドを一人で旅行するにはあまりにも-----。,打つ,不公平,恐れ,弱い,4
汚れた靴を部屋に-----持ち込まないでください。,～の中に,上へ,～について,返して,1
大雨のせいで私たちは外出を-----された。,～と一緒に,上へ,～から,～の上で,3
カーテンには花の-----が描かれている。,管,形,板,模様,4
私の母は店のシャツ売り場の-----だ。,奥様,大統領,事務員,親戚,3
彼らは1日2回新聞を-----る。,配達する,雇う,形,彼ら自身,1
女性は職場で完全な-----をまだ達成していない。,平等にする,平等に,平等,等しい,3
彼女はドアを-----開けた。,引いた,拾った,花が咲いた,鳴った,1
彼らはアレルギー検査のために血液を-----た。,特徴,源,標本,理由,3
その夜、蚊にひどく-----された。,刺された,注文した,狩った,雇った,1
その都市は先週の-----以来、恐怖の中で暮らしている。,大気,光線,砂漠,地震,4
とても疲れていたので、集中することが-----なかった。,未知,不公平,できない,～と違って,3
私はアフリカのドラムのビートの-----リズムを楽しみました。,わくわくさせる,興奮した,退屈な,退屈した,1
世界のニュースに-----しておく必要があります。,～と一緒に,～から離れて,見張る,～に備えて,1
彼女はビーチパラソルの-----に座りました。,花が咲く,砂漠,温度,日陰,4
食べ過ぎて少し-----と感じました。,できない,病気の,未知,気づいている,2
彼らはその部署に新しい秘書を2人-----しました。,狩った,雇った,配達した,未知,2
私はそれを-----までにやらなければなりません。,自分自身,自分自身（方言）,自分自身（方言）,自分自身,4
あなたがそのような素晴らしいコースを受講できるのは-----です。,幸運にも,運,幸運な,不運な,3
彼らは地下トンネルを-----ことで脱出しました。,こすっている,鳴っている,掘っている,泳ぐ,3
一部の人々は常に犯罪の-----の中で生活しています。,等しい,権威,恐れ,空の,3
とても寒いです。コートを-----べきです。,離れて,上へ,～の中に,～の上で,4
私の兄は電気-----です。,事務員,技師,親戚,専門家,2
台風がその都市を-----しました。,狩った,雇った,打つ,少し,3
彼女はハンカチで目を-----ました。,掘った,受け取った,満たした,こすった,4
彼はリンゴの木に登り、果物が落ちるように-----を揺らしました。,花々,花,日陰,枝,4
-----な聴衆は拍手と歓声を送り始めました。,興味深い,興味がある,わくわくさせる,興奮した,4
あなたは-----塩を食べるべきです。,最も少ない,全ての,より少ない,空の,3
彼が私を-----してくれるので、私は彼が好きです。,笑うこと,笑った,笑っている,笑う,4
そのウイルスは当時、医者にとって-----でした。,できない,気づいている,未知,～と違って,3
彼らは野鳥を-----ために森へ行きたがっています。,死んだ,確信,雇う,狩る,4
ろうそくを-----てください。,～の中に,離れて,～の上で,外へ,4
あなたのために花をいくつか-----しました。,鳴らされた,花が咲いた,もたれた,拾った,4
彼は-----と感じ、学校に行かないことにしました。,～と違って,病気,彼自身,できない,2
金と銀は-----な金属です。,明確,貴重な,権威,いっぱいの,2
兄はとても速く歩くので、私は彼に-----ことができません。,～から離れて,上へ,～の上で,～と一緒に,4
彼女は外出する前にいつも鏡で-----を見ます。,自分自身,彼女を,彼自身,彼女自身,4
私たちの庭ではバラが満開に-----です。,日陰,砂漠,花が咲く,枝,3
会議を来週の金曜日まで-----にしていただけますか？,離れて,外へ,下へ,離れて,1
私はその書類のコピーを-----しました。,鳴った,保った,作った,失敗した,3
その建物は兵士たちの-----に取り憑かれていると言われています。,幽霊,感覚,恐れ,死んだ,1
私たちは-----でピクニックを楽しみました。,案内人,大気,光線,野原,4
私のパソコンは現在-----です。,注文,精神,配達する,死んだ,1
昨日の事故で誰も-----しなかったのは幸運でした。,苦しんだ,けがをした,拾った,失敗した,2
働く主な-----は、生活のためにお金を稼ぐことです。,完璧な,理由,知識,恐れ,2
座席の-----をまっすぐにしてください。,離れて,返して,下へ,外へ,2
アムステルダムは運河で-----です。,賢い,有名,明確,よく知っている,2
お知らせが掲示-----に張り出されます。,板,形,管,模様,1
マーティン・ルーサー・キング・ジュニアは、アメリカの公民権運動の----の一人でした。,親戚たち,乗客たち,指導者たち,大統領たち,3
この仕事をするには専門的な----が必要です。,知識,賢い,真実,理由,1
彼は----レベルでテニスをします。,余分な,専門家,全ての,いくつかの,2
犬は鋭い嗅覚の----を持っています。,専門家,恐れ,心,感覚,4
カーテンの隙間から細い----の光が差し込んでいた。,野原,日陰,影,光線,4
アメリカ合衆国の次の----は誰になるでしょうか？,指導力,大統領,医者,事務員,2
来週、水曜日の----に電話します。,ほとんど～ない,可能な,たぶん,特に,3
彼女はタンクを水で----。,支払った,満たした,受け取った,掘った,2
私のノートを----てください。,返して,～について,上へ,～の中に,1
クレジットカードで----できますか？,貸す,支払う,こする,揺らす,2
休憩なしで1時間でそこまで歩くのは----ですか？,おそらく,実際に,特に,可能な,4
電車は多くの乗客を----。,離れて,～の中に,下へ,～の上で,3
彼は図書館から本を----。,こすった,掘った,借りた,貸した,3
私はこれほど----映画を見たことがありません。,退屈な,わくわくさせる,退屈した,興奮した,1
彼がそんなことを言うのは----だった。,未知,～と違って,できない,不公平,4
