"Q","A1","A2","A3","A4","Anum"
"""Please take a look at my computer and tell me what is wrong."" ""-----, To me, it looks like there is a problem with the screen.""","Certainly","Actually","Maybe","Perhaps","1"
"Some insects are so small that you can ----- see them.","impossible","hardly","maybe","almost","2"
"I'm ----- he'll come to rescue me.","certain","unknown","hunted","bitten","1"
"We were in the middle of a meeting when the phone -----.","rung","ringing","rang","ring","3"
"I was glad that the car was in ----- condition.","ectra","whole","equal","perfect","4"
"How ----- that news is!","interestingly","surprising","interested","surprised","2"
"You students ought to be proud of -----.","themselves","yourself","yourselves","himself","3"
"He is too ----- to travel alone in India.","hit","unfair","fear","weak","4"
"Don't bring those dirty shoes ----- the room.","in","up","about","back","1"
"The heavy rain kept us ----- going out.","with","up","from","on","3"
"The curtains have a ----- of flowers on them.","tube","shape","board","pattern","4"
"My mother is a ----- in the store's shirt department.","ma'am","president","clerk","relative","3"
"They ----- newspapers twice a day.","deliver","hire","shape","themselves","1"
"Women have yet to achieve full ----- in the workspace.","","equally","equality","equal","3"
"She ----- the door open.","pulled","picked","bloomed","rang","1"
"They took a blood ----- to test for allergies.","feature","source","sample","reason","3"
"I was badly ----- by mosquitoes that night.","bitten","ordered","hunted","hired","1"
"The city has been living in fear since las week's -----.","atmosphere","ray","desert","earthquake","4"
"I was ----- to concentrate because I was so tired.","unknown","unfair","unable","unlike","3"
"I enjoyed the ----- rhythms of African drum beats.","exciting","excited","boring","bored","1"
"It is necessary to keep ----- world news.","up with","away from","an eye on","up for","1"
"She sat in the ----- of a beach umbrella.","blossom","desert","tempreature","shade","4"
"I felt a little ----- after eating too much.","unable","sick","unknown","aware","2"
"They ----- two new secretaries in the department.","hunted","hired","delivered","unknown","2"
"I must do it by -----.","oneself","mineself","meself","myself","4"
"You are ----- to take such wonderful courses.","luckily","luck","lucky","luckless","3"
"They escaped by ----- an underground tunnel.","rubbing","ringing","digging","swimming","3"
"Some people live in constant ----- of crime.","equal","authority","fear","empty","3"
"It's very cold. You Should put ----- your coat.","off","up","in","on","4"
"My brother is an electrical -----.","clerk","engineer","relative","professional","2"
"A typhoon ----- the city.","hunted","hired","hit","bit","3"
"She ----- her eyes with a handkerchief.","dug","received","filled","rubbed","4"
"He climbed into the apple tree and shook the ----- so that the fruit feel down.","blossoms","blooms","shades","branches","4"
"The ----- audience began clapping and cheering","interesting","interested","exciting","excited","4"
"You should eat ---- salt.","least","whole","less","empty","3"
"I like him because he makes me -----.","to laugh","laughed","laughing","laugh","4"
"The virus was ----- to doctors then.","unable","aware","unknown","unlike","3"
"They want to the forest to ----- wild birds.","dead","certain","hire","hunt","4"
"Please put ----- the  candle.","in","off","on","out","4"
"I've ----- some flowers for you.","rung","bloomed","leaned","picked","4"
"He felt ----- and decided not to go to school.","unlike","ill","himself","unable","2"
"Gold and silver are ----- metals.","clear","precious","authority","full","2"
"My brother walks so fast that I can't keep ----- him.","away from","up","on","up with","4"
"She always looks at ----- in a mirror before going out.","oneself","her","himself","herself","4"
"The roses are in full ----- in our garden.","shade","desert","bloom","branch","3"
"Could you put ----- the meeting until next Friday?","off","out","down","away","1"
"I ----- a photocopy of the document.","rang","kept","made","failed","3"
"That building is said to be haunted by the ----- of soldiers.","ghosts","senses","fear","dead","1"
"We enjoyed a picnic in the -----.","guide","atmosphere","ray","field","4"
"My personal computer is out of ----- at the moment.","order","spirit","deliver","dead","1"
"It was lucky that nobody was ----- in the accident yesterday.","suffered","injured","picked","failed","2"
"The major ----- for working is to make money to live.","perfect","reason","knowledge","fear","2"
"Put your seat ----- upright, please.","away","back","down","out","2"
"Amsterdam is ----- for its canals.","wise","famous","clear","familiar","2"
"Notices are put up onto the bulletin ------.","board","shape","tube","patter","1"
"Martin Luther King, Jr. was one of the ---- of the civil rights movement in America.","relatives","passengers","leaders","presidents","3"
"You need specialist ---- to do this job.","knowledge","wise","truth","reason","1"
"He plays tennis at the ---- level.","extra","professional","whole","several","2"
"Dogs have a keen ---- of smell.","professional","fear","mind","sense","4"
"My mother is an electrical ----.","engineer","relative","clerk","professional","1"
"A thin ---- of light shone through a crack in the curtains.","field","shade","shadow","ray","4"
"Who will be the next ---- of the United States?","leadership","president","doctor","clerk","2"
"I'll phone next week, ---- on Wednesday.","hardly","possible","probably","especially","3"
"She ---- a tank with water.","paid","filled","received","dug","2"
"Bring my notebook ---- to me, please.","back","about","up","in","1"
"Can I ---- by credit card?","lend","pay","rub","swing","2"
"Is it ---- to walk there in an hour without rest?","perhaps","actually","especially","possible","4"
"The train put ---- many passengers.","away","in","down","on","3"
"He ---- a book from the library.","rubbed","dug","borrowed","lent","3"
"I've never seen such a ---- film as this.","boring","exciting","bored","excited","1"
"It was ---- of him to say that.","unknown","unlike","unable","unfair","4"
