Q,A1,A2,A3,A4,Anum
A: 朝食を食べる時間が全然ないんだ。 B: もっと早く起きなさい、----時間はたっぷりあるよ。,そうすれば,しかし,さもなければ,～もまたない,1
私はハッピーエンドの物語が好きだ。,誰,どこ,何,（関係代名詞）,4
もしゴードンがあなたが彼の車を借りたことを----、彼はとても怒るだろう。,見つけたら,見つけなければ,見つける,見つけたら,4
これは私が今まで見た中で最も大きな船だ。,その～,何,（関係代名詞）,誰,3
明日は晴れる----。,です,だろうか,だった,ある,2
その料理人は----ので、私たちはひどいサービスについて文句を言いたくなかった。,とてもいい人だった,とても親切な人,とてもいい人,とても親切な人,1
もしあなたのアドバイスに従っていたら、私は今もっと幸せ----。,だろう,だった,だ,だろうに,4
明日晴れたら、私たちは湖に釣りに----。,行った,行くだろう,行くつもりだ,行くだろう,3
あなたの助け----、私はその仕事を完了できなかっただろう。,のおかげで,にもかかわらず,関係なく,がなければ,4
私たちのサービスに登録----、好きな曲や番組をダウンロードできる。,どちらでも,また,どのように,いったん～すれば,4
スポーツスタジアムにはしばしば特別なボックス席があり、----人々は飲食しながら試合観戦ができる。,どちらでも,どこでも,そこで,どちら,3
ジブリ美術館は私が訪れたい場所だ。,（関係代名詞）,どこ,どこへ,そこへ,1
彼は店で一番安い自転車を買ったが、----彼には10ドル残った。,ただ,それによって,それは,それ,3
これは私の兄がかつて住んでいたアパートだ。,何,いつ,どこ,どちら,3
会議後に質問が----、遠慮なくメールしてください。,あるだろう,あれば,あったら,あった,2
ジョンが話している男性は私たちの数学の先生だ。,いつ,誰,どこ,誰と,4
事故を引き起こしたいくつかの要因について話しましょう。,（関係代名詞）,その～,どこ,何,1
以前あなたのアドバイスを聞いていたら、今こんなトラブルには----。,なっていないだろう,なっていない,なっているだろう,なっていただろう,1
今日では、どこにいても----インターネットにアクセスできる。,不思議,関係なく,感謝,長く,2
母親は大声で言った。「もう----時間よ。」,寝なければならない,寝るだろう,寝てしまった,寝る,4
大学時代にもう一つの外国語を----よかったのに。,学ぶ,学んだだろう,学んでおけば,学ぶべき,3
もう荷造りを----時間だ。出発まであと2時間しかない。,始める,始めた,始めるだろう,始めている,2
ベル氏は私が情報を得た相手だ。,誰に,何のために,誰の,誰から,4
A: ナンシーのパーティーについてのメールありがとう。 B: 来られる？ A: ----。 B: それは残念だね。,行かなければよかった,彼女にチョコケーキを作りたい,彼女に会うのが待ちきれない,残念ながら行けない,4
もしミュージシャンに----、どんな人間になっていたと思いますか？,なっていなかった,なるべきでなかった,ならないだろう,なっていなかったら,4
最初は簡単に見える----が、後で難しいとわかることがよくある。,こと,なぜ,どちら,あれ,1
私が幹部の一人だと信じていた男性は、アルバイトだと判明した。,どちら,何,その～,（関係代名詞）,4
もっと早く出発していたら、雨を----。,避けられる,避けられたのに,避けた,避けるだろう,2
彼の母親はまるで何も----かのように話し続けた。,起こるだろう,起こった,起こらなかった,起こるだろう,3
父が私にお金をくれた。----、私はその旅行に行く余裕がなかっただろう。,さもなければ,このために,それにもかかわらず,したがって,1
運が良ければ、富士山の素晴らしい景色が----。,あった,あっただろう,見られるだろう,見られただろう,3
もし私があなた----、そんなことはしなかっただろう。,だった,である,なら,だったなら,3
これまでのところ詳細な情報は----が、24時間以内の更新を期待している。,どんな,ない,多くの,ほとんどない,2
モーツァルトは音楽を作らずには生きられなかった。音楽のない人生は彼にとって無意味----。,だった可能性がある,だっただろう,だったに違いない,である必要はない,3
彼はまるで人生が終わった----ように振る舞った。,か,だろう,だろう,である,1
体は元気だ----、精神的にはとても疲れている。,が,にもかかわらず,～するために,にもかかわらず,1
その絵が1万ドルで売れた有名な画家が、2003年に来日した。,誰,誰の,その～,誰と,3
これらは彼が自分の家を建てた道具だ。,あれ,それを使って,どちら,それを使って,2
たとえ私が行っていたとしても、いずれにせよ彼らに会えた可能性は----。,ほとんどない,ほとんどない,ほとんどない,ほとんどない,3
もし最後の打者がホームランを打っていなかったら、私たちのチームは試合に----。,勝つだろう,負けるだろう,勝っていただろう,負けていただろう,4
彼女はまるで悪い知らせを聞いた----に見えた。,～で,かのように,そして,けれども,2
彼女は手話だけでなく、ステップや体の動きを通じても民謡を演じる。,～として,そして,だから,しかしまた,4
もし私のアドバイスを聞いていたら、その時あなたはもっと成功----。,していただろう,するだろう,している,していただろう,4
どんなに不快----、この実験室では防護服を着用しなければならない。,けれども,であっても,にもかかわらず,なぜなら,2
彼女が貸してくれた本はもう読んだ。,（関係代名詞）,何,誰,その～,1
もし何が起きているのか私に----、私はあなたに全てを話しただろう。,聞いていたら,聞いていたら,聞いた,聞くなら,1
彼は会議を欠席することは----。,もまたない,めったにない,決してない,どちらも,2
音楽を聴くことは、勉強している----集中するのに役立つ人もいる。,何,間,間,～について,2
人々は天然資源に限りがある----気づくべきだ。,ように,について,ことに,～の,3
紛失した報告書が見つかる見込みは----。,めったにない,ほとんどない,ほとんどない,ほとんどない,4
そのグループは、さもなければ失われてしまうかもしれない古い建物の保存に取り組んでいる。,めったに,同様に,さもなければ,ほとんど,3
先日あなたが買った雑誌はどこ？,（関係代名詞）,どこ,誰,誰,1
もし金持ちなら、世界中を----。,旅行するだろう,旅行するつもりだ,旅行できる,旅行できただろう,1
兄弟が----いいのに。,いる,いれば,いるだろう,いた,2
サンズ教授はまた遅刻したことであなたに怒っている。もし私があなたなら、彼に----。,謝るだろう,謝った,謝っていただろう,謝るつもりだ,1
あなたがすでにここで待っていると知っていたら、もっと早く----。,来ただろう,来た,来るつもりだ,来られなかった,1
去年の冬香港に行ったが、期待していたほど暖かくなかった。,何,そこで,どちら,いつ,2
私はニューヨークで2週間過ごすつもりだ。そこには兄が住んでいる。,何,どちら,そこで,その～,3
子供の頃、その男性はまるで私が彼の実の娘----ように私を扱った。,である,であった,だろう,である,4
やってみ----、決してわからないだろう。,ない限り,いつ,あれ,後,1
万一何か問題が見つかったら、すぐに私に連絡してください。,～だろう,～できた,～かもしれない,万一,4
外国語教育は科学と芸術の----分野を組み合わせている。,間,どちらも～ない,両方の,どちらか,3
チャーリー・チャップリンはサイレント映画での活躍で最もよく知られた俳優だった。,何,その～,（関係代名詞）,どちら,3
今朝私が話していた女の子はカナダ出身だ。,私が,私が,誰が,私が,1
彼女には息子がいて、彼は大学生だ。,そして彼は,何,誰,あれ,1
昨夜、その老婦人は居間の窓を閉めるのを忘れたが、それは彼女が普段していることだ。,いつ,あれ,それは,何,3
もしモーリーがライフジャケットを----、彼は川で溺れていたかもしれない。,着ていなかったら,着ていない,着ていなかった,着ていなかったら,1
日本人の謙虚さが誤解を招くケースは数多くある。,どちら,あれ,何,そこでは,4
私は英語が全く話せない。上手に----いいのに。,話さなければならない,話せれば,話せる,話してもよい,2
大学生になる----、私はあと4インチ背が伸びているだろう。,まで,たとえ～でも,頃には,限り,3
もしお金の詰まったスーツケースを----、どうしますか？,見つけたら,見つける,見つけたら,見つけたら,4
価格が安いからといって、----品質が低いわけではないことを知っておくべきだ。,必ずしも,必要性,必要な,必要,1
これがジョブズ氏がパソコンビジネスで成功した----だ。,どちら,何,方法,方法,4
パーティー用にプラスチックのコップを買ったので、子供たちが落とし----割れない。,けれども,ても,にもかかわらず,まだ,2
彼女はそんな馬鹿なことは一度も言っていないと強く主張した。,誰,どちら,と,何,3
約20億人の子供たちが、汚染レベルが高すぎる場所に住んでいる。,その中で,どちら,何,そこでは,4
彼はまるで全てを----かのように話す。,知っている,知っている,知った,知るだろう,1
馴染みがないからといって、これらのアイデアを却下すべきではない。,～として,～のために,～以来,～だから,4
もし10分早く来ていたら、彼女に----。,会うだろう,会えたのに,会えた,会った,2
もしもう少し若----、あなたと一緒に山に登るのに。,だった,だった,ければ,である,3
たとえ太陽が西から昇るようなことが----、彼は妻を愛するのをやめないだろう。,あっても,あった,ある,かもしれない,1
雨が降っていた----、彼らはハイキングに出かけた。,むしろ,なぜなら,にもかかわらず,が,4
夕食にスープかサラダの----をとることができる。,両方,どちらも～ない,どちらか,選択,3
彼が私に言った----は嘘だった。,あれ,いつ,こと,どこ,3
今お腹が空いている。家を出る前に何か----よかったのに。,食べていなければ,食べておけば,食べた,食べた,2
あなたのタイムリーな助言----、私はこの問題に対処し損なっていただろう。,にもかかわらず,～は別として,～の代わりに,がなければ,4
彼はウェブアクセスに料金を請求するホテルにうんざりしていた。,どこ,（関係代名詞）,誰,いつ,2
家に帰る----このギフトボックスを開けるのを待ちなさい。,～へ,いつ,後,まで,4
もしあの時彼女のアドバイスを----、私は今失業しているかもしれない。,受け入れていなかったら,受け入れていない,受け入れない,受け入れないだろう,1
ありがとう、ヒロミ。この本はまさに私が欲しかった----だ。,もの,あれ,その～,どちら,1
私には父親が弁護士である友人がいる。,誰,誰,どちら,その～,4
私には宇宙飛行士になりたい友人がいる。,その～,（関係代名詞）,誰,どちら,2
もし時間があればジョンはチームに----が、彼は今本当に忙しい。,参加する,参加した,参加するだろう,参加した,3
その地域が危険である----報告は住民に無視された。,何,という,関する,どちら,2
彼は泣かなかった。----は彼にしてはとても勇敢だった。,それ,何,どこ,誰,1
アンが買ったドレスはとてもかわいい。,その～,（関係代名詞）,いつ,誰,2
輝くものすべてが金ではないことを忘れてはならない。,その～,どちら,それ,（関係代名詞）,4
暗くなり、----悪いことに、雪が降り始めた。,どこ,どう,～として,さらに,4
あなたに少し考えてほしい----は、それをした後に何が起こるかだ。,いつ,どう,こと,なぜ,3
私がジョンと話す前に、彼についての全てを----よかったのに。,話してくれれば,話してくれる,話した,知らせる,1
あそこを歩いている少年と犬を見なさい。,どこ,その～,何,（関係代名詞）,4
彼女は戻ってくるまで待てる----私に尋ねた。,かどうか,後,あれ,そこ,1
もし私が営業部長に----、間違いなくこの新製品を宣伝するだろう。,選ぶ,選んでいた,選ばれたら,選んだ,3
私はその男の話し----が好きではなかった。,いつ,方,どちら,どこ,2
もし季節の移り変わりが----、私たちの生活はなんと単調なことだろう。,かもしれない,すべき,なければ,ある,3
もし5分早く駅に----、電車に乗れたのに。,着いたら,着いた,着いていたら,着いている,3
交通事故----、私たちはもっと早く着いていただろう。,同様に,ただ～だけ,がなければ,～から,3
日本人が毎日食べる----の大部分は他国から輸入されている。,誰,どちら,もの,あれ,3
ティモシーは彼が答えられない一連の質問攻めにあった。,それに対して,あれ,どちら,それによって,1
あなたが手に持っている----を見せてください。,どちら,あれ,もの,どこ,3
消防士たちは家が燃えている通りにたどり着くのに苦労した。,どちら,あれ,どう,そこでは,4
この時点で、シャノンは製図を----よかったと思った。彼女はそのコースが嫌いだった。,取らなければ,取るなら,取った,取らないだろう,1
これは100年前に撮られた写真だ。,どこ,（関係代名詞）,いつ,何,2
私は母親が有名な天文学者である少女に会った。,その～,誰,誰,どちら,1
もし電車が遅れていなかったら、昨日のコンサートに----。,間に合わなかっただろう,間に合っただろう,間に合わないだろう,間に合うだろう,2
ジャックはバドミントンの大会に出る機会を----逃さない。,めったに～ない,めったに～ない,めったに～ない,めったに～ない,1
私たちに英語を教えている先生はカナダ出身だ。,どちら,その～,誰,（関係代名詞）,4
私たちが会って----かなり経つ。,なぜなら,けれども,あれ,から,4
コーヒーか紅茶の----私には構わない。,両方,～かどうか,どちらでも,どちらも～ない,3
科学者たちが言っていることが実現する時代がすぐに来るだろう。,いつ,～へ,どちら,どこ,1
それはカトウ氏が応募した職だが、最終決定はまだなされていない。,（関係代名詞）,何,あれ,誰,1
クリスマスは家族全員が集まる日だ。,その～,あれ,何,いつ,4
このプログラムを作った----は天才だ。,誰でも,何,人は誰でも,誰,3
万一当社の製品に関して問題が----、お気軽にご連絡ください。,あれば,～だろう,～かもしれない,～できた,1
もし----、明日ハイキングに行こう。,雨が降らないだろう,雨が降らなければ,雨が降っていなかったら,雨が降らなかった,2
もし鳥が----、世界は昆虫でいっぱいになるだろう。,いなければ,いれば,いなかったら,いたら,1
私はイタリア食品店のウェブサイトを訪れ、----素晴らしいオリーブオイルを注文した。,どちら,いつ,そこで,何,3
もし彼があと1日長く生きていたら、彼は100歳に----。,なっていただろう,なる,なっていただろう,なっていただろう,4
もし彼の電話番号を----、彼に電話するのに。,知ることができれば,知っていれば,知っている,知っていたら,2
もしもっと早く彼に----、私の人生は違っていただろう。,会った,会う,会っていたら,会った,3
ハワイに行く----、いつも同じホテルに泊まる。,どちらへ,何でも,時はいつでも,どこへ,3
これが昨日あなたに話した本だ。,その～,どこ,それについて,何,3
彼女は雪が全く降らない郡に住みたいと思っている。,その～,誰,そこでは,どちら,3
考え事をしてそこに立っていた----、後ろから声をかけられた。,もし,時,誰,誰,2
もし彼がお金を株に----、彼は今頃億万長者だろう。,投資していたら,投資した,投資した,投資する,1
私たちが公園で見かけた女性はアヤの姉だった。,（関係代名詞）,どちら,その～,いつ,1
それが彼らが都市へ引っ越すのをやめた理由だった。,なぜなら,（関係代名詞）,～のために,なぜ,2
コーチは、----一生懸命練習したわけではないと言った。,全ての選手が～ない,全ての～ない選手が,～ない全ての選手が,全ての選手が～というわけではない,4
もし明日10時に----、社長があなたに会います。,来るだろう,来た,来ていたら,来れば,4
足を吹き飛ばされた男の恐ろしい写真があった。,あれ,どちら,誰,その～,4
もし私があなたなら、そんなことは----。,しない,できない,しないだろう,しないだろう,3
リサは彼女が信頼できると信じる----と結婚するだろう。,何でも,どんなに,いつでも,人は誰でも,4
もし製品の欠陥について知っていたら、それを買うのを----。,避けるだろう,避けるつもりだ,避けた,避けていただろう,4
もし彼が来年市長に選ばれ----、私は本当に驚くだろう。,たら,たら,たら,たら,1
札幌ドームで多くのイベントを見たいファンには、割引シーズンパスが現在利用可能だ。,どこ,いつ,何,（関係代名詞）,4
もしケイトが真実を----、どうするだろうか？,知ることができる,知っている,知るだろう,知っていたら,4
万一明日雪が----、私は家にいるだろう。,降れば,降るだろう,降る,降る,1
娘が弁護士になった先生を覚えていますか？,誰,その～,どちら,あれ,2
また試合を始められるように、すぐに雨が----いいのに。,止むだろう,止んだ,止んでくれれば,止んでいた,3
万一町で迷ったら、この携帯電話を使いなさい。,～だろう,～だろう,～できた,万一,4
太陽は東から昇る----、日本は長い間日出ずる国と呼ばれてきた。,～のために,ので,いつ,もし,2
彼らは----何も食べていない。お腹が空いていないのだろうか？,ほとんど,少し,し損なった,ほとんど～ない,4
もしカメラを----、美しい写真が撮れたのに。,持っている,持っていたら,持っていた,持っていれば,2
高校生の時にあなたを----よかったのに。,知っていた,知っている,知っていたら,知っている,3
彼女がプロゴルファーになるまで----だろう。,すぐに,まもなく,間,最近,2
アメリカの影響がなければ、日本文化は今日の----ではないだろう。,姿,どちら,いつ,あれ,1
母は私に一緒に買い物に行きたい----尋ねた。,かどうか,いつ,なぜ,何,1
試合に勝てなかったと聞いて残念だ。もっと一生懸命練習して----よかったのに。,必要,かつて,さえいれば,あれ,3
「スマートフォン」は私たち全員がよく知っている言葉だ。,その中で,それに,そのために,それの,2
