Q,A1,A2,A3,A4,Anum
"He is too ----- to travel alone in India.
彼はインドを一人で旅行するにはあまりにも-----。","hit
","unfair
","fear
","weak
",4
"Don't bring those dirty shoes ----- the room.
汚れた靴を部屋に-----持ち込まないでください。","in
","up
","about
","back
",1
"The heavy rain kept us ----- going out.
大雨のせいで私たちは外出を-----された。","with
","up
","from
","on
",3
"The curtains have a ----- of flowers on them.
カーテンには花が-----られている。","tube
","shape
","board
","pattern
",4
"My mother is a ----- in the store's shirt department.
私の母は店のシャツ売り場の-----だ。","ma'am
","president
","clerk
","relative
",3
"They ----- newspapers twice a day.
彼らは1日2回新聞を-----る。","deliver
","hire
","shape
","themselves
",1
"Women have yet to achieve full ----- in the workspace.
女性は職場で完全な-----をまだ達成していない。",,"equally
","equality
","equal
",3
"She ----- the door open.
彼女はドアを-----開けた。","pulled
","picked
","bloomed
","rang
",1
"They took a blood ----- to test for allergies.
彼らはアレルギー検査のために血液を-----た。","feature
","source
","sample
","reason
",3
"I was badly ----- by mosquitoes that night.
その夜、蚊にひどく-----された。","bitten
","ordered
","hunted
","hired
",1
"The city has been living in fear since las week's -----.
その都市は先週の-----以来、恐怖の中で暮らしている。","atmosphere
","ray
","desert
","earthquake
",4
"I was ----- to concentrate because I was so tired.
とても疲れていたので、集中することが-----なかった。","unknown
","unfair
","unable
","unlike
",3
"I enjoyed the ----- rhythms of African drum beats.
私はアフリカのドラムのビートの-----リズムを楽しみました。","exciting
","excited
","boring
","bored
",1
"It is necessary to keep ----- world news.
世界のニュースに-----しておく必要があります。","up with
","away from
","an eye on
","up for
",1
"She sat in the ----- of a beach umbrella.
彼女はビーチパラソルの-----に座りました。","blossom
","desert
","tempreature
","shade
",4
"I felt a little ----- after eating too much.
食べ過ぎて少し-----と感じました。","unable
","sick
","unknown
","aware
",2
"They ----- two new secretaries in the department.
彼らはその部署に新しい秘書を2人-----しました。","hunted
","hired
","delivered
","unknown
",2
"I must do it by -----.
私はそれを-----までにやらなければなりません。","oneself
","mineself
","meself
","myself
",4
"You are ----- to take such wonderful courses.
あなたがそのような素晴らしいコースを受講できるのは-----です。","luckily
","luck
","lucky
","luckless
",3
"They escaped by ----- an underground tunnel.
彼らは地下トンネルを-----ことで脱出しました。","rubbing
","ringing
","digging
","swimming
",3
"Some people live in constant ----- of crime.
一部の人々は常に犯罪の-----の中で生活しています。","equal
","authority
","fear
","empty
",3
"It's very cold. You Should put ----- your coat.
とても寒いです。コートを-----べきです。","off
","up
","in
","on
",4
"My brother is an electrical -----.
私の兄は電気-----です。","clerk
","engineer
","relative
","professional
",2
"A typhoon ----- the city.
台風がその都市を-----しました。","hunted
","hired
","hit
","bit
",3
"She ----- her eyes with a handkerchief.
彼女はハンカチで目を-----ました。","dug
","received
","filled
","rubbed
",4
"He climbed into the apple tree and shook the ----- so that the fruit feel down.
彼はリンゴの木に登り、果物が落ちるように-----を揺らしました。","blossoms
","blooms
","shades
","branches
",4
"The ----- audience began clapping and cheering
-----な聴衆は拍手と歓声を送り始めました。","interesting
","interested
","exciting
","excited
",4
"You should eat ---- salt.
あなたは-----塩を食べるべきです。","least
","whole
","less
","empty
",3
"I like him because he makes me -----.
彼が私を-----してくれるので、私は彼が好きです。","to laugh
","laughed
","laughing
","laugh
",4
"The virus was ----- to doctors then.
そのウイルスは当時、医者にとって-----でした。","unable
","aware
","unknown
","unlike
",3
"They want to the forest to ----- wild birds.
彼らは野鳥を-----ために森へ行きたがっています。","dead
","certain
","hire
","hunt
",4
"Please put ----- the  candle.
ろうそくを-----てください。","in
","off
","on
","out
",4
"I've ----- some flowers for you.
あなたのために花をいくつか-----しました。","rung
","bloomed
","leaned
","picked
",4
"He felt ----- and decided not to go to school.
彼は-----と感じ、学校に行かないことにしました。","unlike
","ill
","himself
","unable
",2
"Gold and silver are ----- metals.
金と銀は-----な金属です。","clear
","precious
","authority
","full
",2
"My brother walks so fast that I can't keep ----- him.
兄はとても速く歩くので、私は彼に-----ことができません。","away from
","up
","on
","up with
",4
"She always looks at ----- in a mirror before going out.
彼女は外出する前にいつも鏡で-----を見ます。","oneself
","her
","himself
","herself
",4
"The roses are in full ----- in our garden.
私たちの庭ではバラが満開に-----です。","shade
","desert
","bloom
","branch
",3
"Could you put ----- the meeting until next Friday?
会議を来週の金曜日まで-----にしていただけますか？","off
","out
","down
","away
",1
"I ----- a photocopy of the document.
私はその書類のコピーを-----しました。","rang
","kept
","made
","failed
",3
"That building is said to be haunted by the ----- of soldiers.
その建物は兵士たちの-----に取り憑かれていると言われています。","ghosts
","senses
","fear
","dead
",1
"We enjoyed a picnic in the -----.
私たちは-----でピクニックを楽しみました。","guide
","atmosphere
","ray
","field
",4
"My personal computer is out of ----- at the moment.
私のパソコンは現在-----です。","order
","spirit
","deliver
","dead
",1
"It was lucky that nobody was ----- in the accident yesterday.
昨日の事故で誰も-----しなかったのは幸運でした。","suffered
","injured
","picked
","failed
",2
"The major ----- for working is to make money to live.
働く主な-----は、生活のためにお金を稼ぐことです。","perfect
","reason
","knowledge
","fear
",2
"Put your seat ----- upright, please.
座席の-----をまっすぐにしてください。","away
","back
","down
","out
",2
"Amsterdam is ----- for its canals.
アムステルダムは運河で-----です。","wise
","famous
","clear
","familiar
",2
"Notices are put up onto the bulletin ------.
お知らせが掲示-----に張り出されます。","board
","shape
","tube
","patter
",1
"Martin Luther King, Jr. was one of the ---- of the civil rights movement in America.
マーティン・ルーサー・キング・ジュニアは、アメリカの公民権運動の----の一人でした。","relatives
","passengers
","leaders
","presidents
",3
"You need specialist ---- to do this job.
この仕事をするには専門的な----が必要です。","knowledge
","wise
",truth,"reason
",1
"He plays tennis at the ---- level.
彼は----レベルでテニスをします。","extra
","professional
","whole
","several
",2
"Dogs have a keen ---- of smell.
犬は鋭い嗅覚の----を持っています。","professional
","fear
","mind
","sense
",4
"My mother is an electrical ----.
私の母は電気----です。","engineer
","relative
","clerk
","professional
",1
"A thin ---- of light shone through a crack in the curtains.
カーテンの隙間から細い----の光が差し込んでいた。","field
","shade
","shadow
","ray
",4
"Who will be the next ---- of the United States?
アメリカ合衆国の次の----は誰になるでしょうか？","leadership
","president
","doctor
","clerk
",2
"I'll phone next week, ---- on Wednesday.
来週、水曜日の----に電話します。","hardly
","possible
","probably
","especially
",3
"She ---- a tank with water.
彼女はタンクを水で----。","paid
","filled
","received
","dug
",2
"Bring my notebook ---- to me, please.
私のノートを----てください。","back
","about
","up 
","in
",1
"Can I ---- by credit card?
クレジットカードで----できますか？","lend
","pay
","rub
","swing
",2
"Is it ---- to walk there in an hour without rest?
休憩なしで1時間でそこまで歩くのは----ですか？","perhaps
","actually
","especially
","possible
",4
"The train put ---- many passengers.
電車は多くの乗客を----。","away
","in
","down
","on
",3
"He ---- a book from the library.
彼は図書館から本を----。","rubbed
","dug
","borrowed
借りた","lent
",3
"I've never seen such a ---- film as this.
私はこれほど----映画を見たことがありません。","boring
","exciting
","bored
","excited
",1
"It was ---- of him to say that.
彼がそう言ったのは----だった。","unknown
","unlike
","unable
","unfair
",4
