Q_ja,A1_ja,A2_ja,A3_ja,A4_ja,Anum
英語を学ぶためにあらゆる----を払うべきだ。,結果,血,努力,経験,3
アルジェリアは1962年にフランスから----。,責任がある,孤立した,独立した,成功した,3
昨日先生は、私がレポートを----終わらせなかったので怒鳴った。,今ごろまでに,時間内に,同時に,最初に,2
ストレスは体のバランスを崩す可能性のある----の一つだ。,得点,はかり,度,状態,4
息子が事故で助かったという知らせは、彼女を----。,生み出した,付け加えた,作り出した,励ました,4
私はタバコの煙でいっぱいの部屋を心底----。,攻撃する,大嫌いだ,引き離す,飾り付ける,2
グローバルな視野を持つことは、あなた自身の----にとって重要になる。,成功すること,成功したこと,成功裏に,成功,4
私は----は分からなかったが、今ではあなたが彼をそんなに好きな理由が分かる。,時間どおりには,最初は,初めて,結局は,2
その世界記録は以前エチオピア人の----が保持していた。,個人的なもの,物理学,努力,アスリート,4
バス運転手は乗客の安全に----。,経験がある,責任がある,影響を与える,努力する,2
幸いにも彼は----家から救出された。,燃えている,輝いている,吹き荒れている,破裂している,1
これは私のバッグじゃない！----私のものに見えるけど違う。,世話をする,調べる,敬う,似ている,4
今朝私は雨の音で----。,減らした,調べた,別れた,目を覚ました,4
警察は家を----が、争いの跡はなかった。,手紙を書いた,勃発した,解明した,見回した,4
ご病気が回復されたことに心からの----をお受け取りください。,好み,像,段階,お祝い,4
彼らは新しい家に引っ越したのは----前だ。,2度,2、3年,1度,二倍,2
そのポルシェの最高----は時速200マイルだ。,速度,得点,好意,努力,1
運動は----健康の水準を劇的に変える。,医学の,医療の,精神の,物理学の,3
数学の問題をどう解くか自分で----なければならない。,解き明かす,突発させる,逃げる,元気づける,1
地図を机の上に----広げよう。,吹きつけて,広げて,破裂させて,輝かせて,2
健康を保つためにお酒を----べきだ。,なしで済ます,逃げ出す,控える,頼る,3
ジグソーパズルの----を組み合わせるのに3時間かかった。,ピース,背景,一対,カップル,1
彼女は新しい仕事について両親に----。,手紙を書いた,成長した,削減した,発生した,1
このプログラムは特に初心者のために----。,繁殖された,印刷された,装飾された,設計された,4
残っているお金は----しかない。,少し,かなり多く,少数の,大部分の,1
その博物館はフィンセント・ファン・ゴッホの作品の特別----を企画している。,4分の1,展示会,断片,舞台,2
今日あなたが何時に出発しても私には----。,速度,期間,違い,想像力,3
彼は交通事故でひどく----。,撃たれた,血を流した,孤独だった,けがをした,4
彼にはコンピュータープログラミングの豊富な----がある。,病気,結果,傷,経験,4
水は華氏32----で凍る。,度,期間,条件,目盛り,1
彼は努力なしで----金持ちになりたいと望んだ。,すぐに,これまで,時間どおりに,いっぱい,1
委員会は安全基準を改善するための----提言を行った。,少しの,多数の,かなり多くの,しばらくして,2
台所でパイプが----、床が水浸しになった。,光って,失われて,破裂して,吹き飛んで,3
コンピューターハッカーがNASAのコンピューターシステムに----。,使い果たした,元気づけた,逃げ出した,侵入した,4
彼女は----三歳でバイオリンのレッスンを始めた。,に間に合って,終わりに,ついに,三歳で,4
ロシアとウクライナの間で戦争が----。,遂行された,侵入した,発見された,勃発した,4
そこには私に----顔があった。,として知られている,見覚えのある,よく知っている,遅れている,2
日本では列車はたいてい----到着する。,すぐに,同時に,時間どおりに,しばらくして,3
どうしてこのワインを良いフランスワインと----のですか。,間違える,比較する,見分ける,好む,2
「ごめん、間違えて君の眼鏡に座ってしまった」「大丈夫、もう一つ----があるから。」,一組,間違い,100万,少し,1
ウクライナの人々は自国のために----。,殺している,攻撃している,傷つけている,戦っている,4
彼はその喧嘩でひどく----。,病気になった,治療された,息をした,負傷した,4
そのホールは人で完全に----いた。,追加されて,覆われて,包まれて,満員だった,4
世界市場は1日あたり500万バレルの石油が----状態だった。,知られていた,好まれていた,不足していた,恐れていた,3
成功しないかもしれないが、----ことが大切だ。,やり遂げる,完成させる,発生させる,全力を尽くす,4
誰かに----会ったときは、その人の電話番号を携帯に入力する。,初めて,すぐに,最初は,直ちに,1
それは----持ち主に返されたに違いない。,すぐに,今ごろまでに,同時に,これまでのところ,2
彼はあなたのほめ言葉に----。,見覚えがあった,喜んだ,恐れた,得意だった,2
多くの兵士が戦闘で----。,破壊された,攻撃していた,成功した,命を落とした,4
私はいつも自分の考えをすべてノートに----ようにしている。,付け加える,発見する,育てる,書き留める,4
ディーゼルエンジンはルドルフディーゼルによって----。,発明された,包まれた,覆われた,育てられた,1
昨年は1.3----の乗客が飛行機の便を利用した。,十億,一対,誤り,私用,1
