Q,A1,A2,A3,A4,Anum
"""(     ) the joke before, I didn't find it funny the second time.""",Hear,Heard,Having heard,Hearing,3
I am looking for (-----) (-----) (-----) me Spanish.,someone to teach,,,,0
"""(     ) knowing which way to go, I had to guess.""",As,Not,Unless,Being,2
"""Bob tried (     ) the math problem, but he failed.""",solving,to solving,to solve,solve,3
The girl kept (    ).,having smiled,smiling,smiled,smile,2
The roads (     ) to the country are jammed with traffic.,leads,led,lead,leading,4
The (     ) to the students were very difficult.,tests giving,tests given,given tests,giving tests,2
"""(     ) with care, this machine can be used for a number of years.""",Handle,Handled,Handling,To handle,2
We enjoyed (sail) all over Japan last summer.,sailing,,,,0
"""He wanted to compete in the Olympics and practiced very hard for it.
He practiced very hard (-----) (-----) in the Olympics.""",to compete,,,,0
It will stop (     ) this evening.,to rain,having rained,raining,to have rained,3
I have heard this song (     ) many times on the radio.,sung,to sing,singing,sing,1
Scott finally decided (     ) the girl he had been dating for three years.,marrying to,getting married to,to get married,to marry,4
I was (-----) (-----) (-----) study last night.,too tired to,,,,0
"""You want to ask Lucy why she changed her opinion.
You say: Lucy, what (-----) you (-----) your opinion?""",made change,,,,0
"""(     ) on the farm all day long, he was completely tired out.""",Having worked,Being working,Not working,Worked,1
He doesn't like (-----) (-----) at.,being laughed,,,,0
She will never forget (visit) Australia last summer.,visiting,,,,0
Mr. White (-----) his daughter (-----) (-----) a driver's license.,allowed to get,,,,0
"""(-----) a lot of homework, I asked my brother to help me.""",Having,,,,0
I don't know (     ) next.,what of doing,what do,what to do,about doing what,3
I like (-----) (-----) video games with my friends.,to play,,,,0
I don't have time (-----) (-----).,to waste,,,,0
Please remain (     ) for a couple of minutes.,seated,seating,to seat,in seat,1
It was kind (     ) him to give up his seat to the old man.,by,for,of,at,3
She gave up (     ) part-time to finish her studies.,to work,working,to working,worked,2
Saori walked (-----) with her friends in the park.,talking,,,,0
I looked for something (     ).,to sit down,sitting,to sit on,to sit,3
The band kept the audience (     ) all night.,fascinated,fascinating,to fascinate,fascinate,1
Ms. Sato is afraid of (     ) a horse.,ride,riding,to ride,being ridden,2
Last year's extraordinary hot summer was (     ) in twenty years.,no less than worse,worse than,by far the worst,the most worst,3
"""Of the two girls (     ) over there, the taller one is my sister.""",stand,standing,stands,stood,2
Stop (     ). It'll only make you miserable.,no worry,worrying,not worried,to worry,2
"""(     ) Sunday, the bank was closed.""",It being,Being it,It was,Being,1
Nikko (-----) worth (-----) several times.,is visiting,,,,0
I'm sure (     ) the exam.,to her pass,her to pass,of her passing,her of passing,3
The museum is a little (     ) far to walk from here.  You can take a bus.,just,too,so,very,2
I heard (     ) my favorite songs.,playing them,them playing,played them,them played,2
He is fond (-----) (-----) the violin.,to play,,,,0
He is used (-----) (-----) for hours.,to waiting,,,,0
This bike is too big for Ted (     ).,ride,riding,to ride,rode,3
"""She is proud that she was the captain of the team.
She is proud of (-----) (-----) the captain of the team.""",having been,,,,0
"""I heard the result of the match. I was surprised.
I was surprised (-----) (-----) the result of the match.""",to hear,,,,0
Please remember (     ) off the light before you go to bed.,to turn,turn,turning,having turn,1
"""(     ) from the plane, the islands were very pretty.""",Seen,Seeing,To see,To be seen,1
Mary can swim faster than (     ) in her class.,all the student,another students,student,any other student,4
I saw my (     ) on the notice board.,name displaying,name displayed,displayed name,displaying name,2
I was impressed by Taro because he played the part of Hamlet better than (     ).,any other actor,any more actors,no one else,no other actor,1
My mother wants (-----) (-----) abroad.,to go,,,,0
A house (     ) of straw is more easily burnt than a house of bricks.,building,builds,being built,built,4
"""The boy opened the window, although his mother told him (     ).""",don't do,not do it,to not,not to,4
I haven't got (     ) I need to help him.,much as money as,as much as money,money as much as,as much money as,4
"""(     ) the topic, I said nothing in the meeting.""",Not to know,Not knowing,Don't know,Never knows,2
I found (     ) impossible to do the work in a day.,what,that,how,it,4
That hotel is popular with people (     ) by car.,traveled,travel,traveling,having traveled,3
Watch out for the (     ).,broken glass,glass breaking,breaking glass,glass broken,1
He left his friend (     ) in the parking lot for an hour.,having waited,waited,to wait,waiting,4
Many Japanese students go to Australia (-----) (-----) English.,to practice,,,,0
I couldn't finish (read) the thick book this weekend.,reading,,,,0
"""(     ) from this angle, the doll looks more attractive.""",Viewed,On viewing,To view,Viewing,1
I get up (     ) earlier than John.,much,more,very,most,1
"""He is always trying (     ) his boss, but his effort doesn't seem to work well.""",not upsetting,not upset,not to upset,to upset not,3
The amount of tax I have to pay this year is twice (     ) three years ago.,more than,as much as,less than,so much as,2
The (-----) (-----) by my grandfather is 70 years old.,house built,,,,0
"""(     ) a fine day yesterday, I took my son fishing.""",It being,Having been,Being,It was,1
"""(-----) (-----) her before, I found Mary quickly at the party.""",Having met,,,,0
I found (-----) difficult (-----) (-----) German.,it to learn,,,,0
Did you read the article about the old (     ) at the farm?,found coins,coins found,coins finding,finding coins,2
Tom is (     ) taller than Jim.,more,very,most,much,4
Don't forget (     ) me his photo tomorrow.,brought,bringing,having brought,to bring,4
Her idea sounds (-----).,interesting,,,,0
Come here as soon as you (     ).,capable,able,possible,can,4
"""Diana is (     ) runner in her class, but her brother runs much faster.""",faster,the most fast,fastest,the fastest,4
My mother (-----) me (-----) (-----) my room at once.,told to clean,,,,0
It's not so easy (-----) (-----) new friends.,to make,,,,0
The tall man (     ) near the door is my father.,stands,stood,is standing,standing,4
Tomoko is accustomed (     ) till late at night.,work,to working,working,to work,2
Arizona has (     ) Native American population in the United States.,the third largest,third largest,the largest third,a third of largest,1
I have two sisters.  Emily is (     ) of the two.,the youngest,younger,a youngest,the younger,4
I'm proud of (     ) the speech contest.,my won,that I have won,having won,I won,3
It's a shame that none of the people (     ) for the job were accepted.,apply,application,applying,applied,3
This is the (     ) largest library in our city.,most,more,second,twice,3
The schedule stayed (     ) in spite of the accident.,unchanged,unchange,unchanging,having unchanged,1
We saw her (     ) into the theater with her boyfriend.,went,goes,go,gone,3
I (     ) someone touch me on the shoulder.,had,got,felt,saw,3
He must be foolish (-----) (-----) such a story.,to believe,,,,0
She had to go out again because she had forgotten (     ) some milk.,to buying,having bought,to buy,buying,3
"""The weather (     ), we had to cancel our trip to the mountains.""",will be bad,would worsen,being bad,was bad,3
The (-----) (-----) next to Yuki are Kana and Beth.,girls sitting,,,,0
She ran fast (     ) a bus.,to catch in order,order in to catch,in order catch to,in order to catch,4
I asked my uncle (-----) (-----) (-----) the piano.,how to play,,,,0
Could you show me (     ) to use the new computer?,what,that,which,how,4
This bridge is 10 meters long.  That bridge is 5 meters long.  This bridge is (     ) that one.,second as long as,twice as long as,second longer,twice longer,2
Some of your (     ) items were found this morning.,losing,loss,lose,lost,4
This question is (     ) than that one.,little difficult,still difficult,less difficult,much difficult,3
I hurried to the bank (     ) find it closed.,so to,as to,only to,much to,3
I don't know (-----) (-----) (-----) for lunch.,what to eat,,,,0
Please don't forget (     ) this letter on your way home today.,to mail,mail,to have mailed,being mailed,1
"""(     ), Naomi remained silent.""",What to say not knowing,Not knowing what to say,Not what to say knowing,Don't knowing what to say,2
A good teacher allows students (     ) some things for themselves.,discovering,discover,discovered,to discover,4
The man often leaves the door (     ) all day.,unlock,unlocking,to unlock,unlocked,4
You will find (     ) finish the job in a day.,difficult it to,to difficult it,to it difficult,it difficult to,4
"""(-----) alone in the room, the boy began to play video games.""",Left,,,,0
Thomas didn't (     ) his daughter go out after dinner.,hope,allow,let,advise,3
Mr. Green is one of the (     ) in our country.,more great scientist,greatest scientists,more great scientists,greatest scientist,2
I'm very happy (-----) (-----) from you.,to hear,,,,0
"""(-----) by my sister, I finished the report by the deadline.""",Helped,,,,0
The boys insisted (     ) back to the amusement park.,going,to go,on going,at going,3
Have you finished (     ) your book report?,writing,to write,write,wrote,1
He spent all afternoon (-----) for the exams.,studying,,,,0
I saw Mike (    ) the ball.,was kicked,kick,to kick,kicked,2
It was careless (     ) me to forget my textbook in your room.,for,at,of,to,3
"""(     ) down the street, I saw an old friend of mine.""",Walking,To walk,Walked,Having walked,1
It's impossible to make her (     ) the theory.,to understand,understanding,understand,understood,3
"""(     ) way to go, I had to guess.""",Not to know what,Not knowing which,Knowing what,To know not which,2
The boy is used (     ) his own breakfast.,to making,making,to make,make,1
I'm sure of (     ) the exam.,passing,passed,to pass,pass,1
The boy (     ) in the accident was taken to the hospital.,to injure,injuring,injured,has injured,3
I have a lot of homework (-----) (-----).,to do,,,,0
"""The higher you climb up the mountain, (     ) it will be.""",cold,the coldest,colder,the colder,4
There are more private schools in Tokyo than in (     ) other city in Japan.,any,many,some,no,1
"""The (     ) you are, the more you need to pay attention to your health.""",busiest,busier,busy,less busy,2
A knife and fork were not always tools (     ) in Asia.,to eat with,eating with,to eat,eating for,1
"""(     ) well the night before, I felt much better.""",Having slept,To sleep,To have slept,Slept,1
Mary needs someone (     ) care of her baby.,to take,taking,to be taken,who take,1
"""I like the blue coat better.  I think it's much prettier, but it costs (     ) the brown coat.""",as much twice,twice as much as,more than the twice,twice more than,2
My brother explained (     ) the Internet.,me to access,to access,how to access,for accessing,3
The old man is said (     ) a great athlete when he was young.,to have been,being,was,to be,1
He got his (     ).,new stealing bicycle,new bicycle stealing,new stolen bicycle,new bicycle stolen,4
She didn't check if she had a clean (     ) shirt.,being ironed,having ironed,iron,ironed,4
"""Because the room was terribly noisy, I couldn't make myself (     ).""",heard,to hear,hearing,hear,1
Please let me (     ) when you're moving.,known,know,knowing,to know,2
The scholars stood (     ) at the sight.,excite,to excite,exciting,excited,4
We heard (     ) in the room.,someone talking,talked someone,talking someone,someone talked,1
That cafe is a popular place (     ) take a rest for hikers.,to,that,where,though,1
You should teach your children (     ) to swim.,what,who,how,why,3
I finished (     ) my homework before dinner.,to do,do,did,doing,4
Can you see the (    )?,run horse,horse running,horse run,running horse,4
I sometimes heard my father (     ) a song in the bathroom late at night.,having sung,to sing,to be singing,singing,4
John asked me (     ) him with his homework.,help,helping,for help,to help,4
The boy had the hole in his jeans (     ) yesterday.,fix,fixed,to fix,fixing,2
She is (     ) going to Okinawa next month.,looking to,looking for,looking after,looking forward to,4
Amanda is (     ) of the two secretaries in the office.,most reliable,reliable,the more reliable,more reliable,3
I'm sorry we have kept you (     ) so long.,to wait,waited,waiting,wait,3
I chose this red jacket because the blue jacket was (     ) this one.,not as nice as,not nice as,nice as,as nice as,1
My camera is (     ) better than yours.,more,very,further,much,4
Doesn't Betty's mother complain about (     ) every night?,for your calling her up,you call her up,your calling her up,that you call her up,3
I remember (     ) the famous painter at that party.,seeing,to see,being seen,to seeing,1
My sister is cleaning the room (     ) her favorite song.,sung,singing,sang,sings,2
Our library has many books in English.  You should read as (     ) as possible.,many of it,much of them,much of it,many of them,4
He is (-----) (-----) (-----) the race.,sure to win,,,,0
Keep the water (     ) until it gets hot.,to be running,running,to run,run,2
She sat (-----) by her grandchildren.,surrounded,,,,0
Don't forget (     ) the window before going to bed.,be closed,to close,closing,close,2
"""(-----) in the sea, I saw a big ship in the distance.""",Swimming,,,,0
The crowd was surprised to see that a seven-year-old boy was able to swim as (     ) the teenagers.,faster so,faster than,fast still,fast as,4
"""(     ) late without an appointment, I had to wait to see the doctor.""",Having arrived,Had arrived,Arrived,Being arrived,1
Kate (     ) to go to the concert with Tommy.,hesitated,gave up,denied,enjoyed,1
"""The game looked (     ), so he didn't join it.""",bored,boring,bore,to bore,2
I don't mind leaving at six o'clock: (     ) up early.,I'm used to get,I used to getting,I'm used to getting,I was used to get,3
He stopped (     ) for his health.,smoking,to smoke,to smoking,being smoked,1
Can I get (-----) (-----) (-----)?,something to write,,,,0
The colorful cell phones (     ) at the store are popular amoung young people.,sell,sold,to have sold,are sold,2
She is said (     ) in France when she was young.,to be,to being,to have been,having been,3
They looked (-----) at the result of the game.,surprised,,,,0
This winter is (     ) colder than last winter.,such,much,so,too,2
I felt (     ) when I made such a simple mistake.,to embarrass,embarrassing,embarrassed,to be embarrassed,3
She got up at five (-----) (-----) a ticket for the concert.,to get,,,,0
This book is (-----) (-----) for children (-----) (-----).,easy enough to read,,,,0
She grew up (-----) (-----) a famous writer.,to be,,,,0
Lucy has three younger sisters.  She is used (     ) care of children.,taking,to taking,to take,being taken,2
You should try (-----) (-----) (-----) late again.,not to be,,,,0
"""The typhoon hit the city, (     ) great damage.""",did,to be caused,caused,causing,4
"""She denied that she had had a date with Jim.
She denied (-----) (-----) a date with Jim.""",having had,,,,0
I'm going to study harder (     ) pass my exam in July.,in order to,so to,in order that,for to,1
It's no use (     ) with her - she won't listen.,having argued,to arguing,argue,arguing,4
His speech was (-----) (-----) (-----).,boring to hear,,,,0
"""(     ) by his parents, Takashi finally decided to go to Canada.""",Encouraging,Encouraged,Having encouraged,To encourage,2
(-----) is dangerous (-----) (-----) in the river.,It to swim,,,,0
"""(     ) what their teacher said, the students were satisfied.""",Having understood,To understand,Shoud understand,Understood,1
Ms. Jones went to her office (     ) that the windows were broken.,to finding,to find,found,finds,2
These shoes are (     ) than comfortable.,more pretty,prettier,more prettier,pretty,1
I stood (-----) for the train for more than one hour this evening.,waiting,,,,0
She enjoys (     ) to pop music.,to listen,listening,listen,listened,2
It is very difficult (     ) the rule.,me obeying,I obeyed,for me to obey,of me to obey,3
I (-----) Bill (-----) (-----) me with my English homework.,got to help,,,,0
It is rare to see a (     ) in the river.,swim bear,swum bear,bear swum,bear swimming,4
Aki hasn't decided (     ) to go for her summer vacation.,where,when,what,how,1
My sister's hobby is (-----) (-----) photos.,to take,,,,0
I remember Mike (     ) lots of mistakes in his childhood.,making,makes,make,to make,1
What (     ) in that country?,is the language spoken,is the speaking language,is the language a speaking,the language is spoken,1
I (-----) Mary (-----) the street.,saw cross,,,,0
She didn't know (-----) (-----) (-----) on the bus.,where to get,,,,0
"""(     ) from what he says, the situation is bad.""",Judge,Is judged,Judgment,Judging,4
"""(     ) from a distance, David looks like his father.""",To see,Seeing,Seen,Having seen,3
He stopped (answer) the phone and talked for a while on the phone.,to answer,,,,0
Last weekend Anne's parents let her (     ) to the concert.,went,going,go,to go,3
I felt my (     ) by someone.,catching shoulder,shoulder catching,shoulder caught,caught shoulder,3
My parents were delighted (-----) (-----) about my excellent grades.,to hear,,,,0
I'm so happy that I (-----) like (-----).,feel crying,,,,0
The (-----) (-----) on the bench was separated from his mother.,boy crying,,,,0
My grandfather often said that (     ) is more precious than peace.,something,anything,everything,nothing,4
Time is more precious than (     ).,everything,nothing,anything else,all things,3
We all should try (     ) late for our important business meeting.,not to be,don't be,not to,not be,1
Mike refused (stay) at the hotel in the mountains.,to stay,,,,0
She is (     ) a scholar as a journalist.,not at all,not so much,no more,no less,2
She asked me (-----) (-----) (-----) the medicine.,when to take,,,,0
He kept (-----) (-----) the radio for several hours last night.,listening to,,,,0
Try (-----) (-----) (-----) too much.,not to worry,,,,0
We are looking forward (     ) your family.,to see,seeing,to seeing,see,3
"""(-----) (-----) busy, she went shopping.""",Not being,,,,0
I'm sorry for (-----) (-----) you.,not helping,,,,0
"""(     ) went on, the more tired the players became.""",The longer game,The longer the game,The long game,The longest the game,2
She heard her name (     ) from behind.,call,to call,calling,called,4
The poor baby elephant was found (     ) from its mother in the eastern part of Sri Lanka.,selecting,selected,separating,separated,4
"""Bob carelessly left his umbrella on the train.
It was careless (-----) Bob (-----) (-----) his umbrella on the train.""",of to leave,,,,0
I hurried (     ) not to miss the train.,such as,such that,so that,so as,4
(-----) you ready (-----) start?,Are to,,,,0
Keiko is pleased (     ) her close friend.,met,for meet,meet,to meet,4
(-----) newspapers is sometimes (-----).,Reading boring,,,,0
I decided to give up the idea of (     ) a house for the time being.,buying,to buy,buy,bought,1
I have (     ) many DVDs as Josh.,as twice,twice so,twice more,twice as,4
"""(     ) with what he had written before, his new mystery novel was not very thrilling.""",To compare,Compare,Comparing,Compared,4
She could not make herself (     ) in English when she tried to show the stranger the way to the station.,understanding,understand,to be understood,understood,4
I decided (-----) (-----) (-----) the soccer team.,not to join,,,,0
"""There (     ) no further problems to discuss, we called off the meeting.""",be,is,being,are,3
She promised (buy) me a present for my birthday.,to buy,,,,0
"""If you find that book (     ), I'll buy and read it, too.""",interesting,interest,interested,be interested,1
Michael got up early (     ) be in time for the first train.,enough to,time to,not to,as to,1
My father (-----) me (-----) (-----) a scientist.,wants to be,,,,0
Have you ever considered (     ) in physics at college?,to major,on majoring,majoring,of majoring,3
I hope (    ) in Canada next year.,studying,to studying,study,to study,4
My mother (     ) me wait outside the store.,get,told,expect,made,4
Remember (give) it back to me tomorrow.,to give,,,,0
