Q,A1,A2,A3,A4,Anum
He ----- won the election if it hadn’t been for the scandal.,will not,will have,could be,could have,4
"If you were to fall from that bridge, it ----- almost impossible to rescue you.",was,would have been,would be,is,3
Susan is going to turn down John's offer. I would not do that if I ----- her.,were,would be,would have been,had been,1
You must not use the words ----- meanings you don’t understand well.,whose,which,when,who,1
"If I were you, I ----- the report a few weeks in advance.",will prepare,would prepare,prepare,prepared,2
His new TV drama is different from the previous ones in ----- it is based on a true incident.,what,that,which,case,2
"“Was Jack at the party?""  ""I don’t think so.  If he had been, I ----- him.”",saw,would have seen,would see,had seen,2
Relativity is a theory ----- many modern theories in physics are based.,whose,of which,that,on which,4
I wish it ----- rain here so much.,doesn't,isn't,weren't,didn't,4
"If he ----- me about the deadline, I would have turned in the paper late.",wouldn’t remind,hadn’t reminded,were reminded,doesn’t remind,2
We are certain Roy would not have bought the machine if he ----- the reputation of that company.,knew,knows,would know,had known,4
The police officer ----- works in our neighborhood is receiving an award today.,whom,which,who,where,3
"As ----- as I know, he is the best soccer player in our class.",long,well,far,soon,3
"Either you or I ----- supposed to organize a welcoming party for our new boss, but I’m just too busy right now.",are,be,am,will be,3
Please wait in this room ----- you are called.,why,until,by,who,2
"----- happens in the automobile market, the auto industry will not change its policies.",Whatever,However,Wherever,Whenever,1
Taro speaks English so fluently ----- he is taken for an American on the telephone.,that,which,as,if,1
There are several reasons ----- our family owns a second car.,whether,whom,why,when,3
There are a lot of students ----- have to work hard to pass the test.,whose,when,which,who,4
"On meeting at the welcoming reception, we felt as if we ----- each other for years.",had known,have known,know,knew,1
"A: I never have time to eat breakfast. B: Get up earlier, ----- you’ll have plenty of time.",and,but,or,nor,1
I like stories ----- have happy endings.,who,where,what,which,4
"----- that you borrowed his car, he would be very angry.",Gordon were to find out,If Gordon never finds out,Were to Gordon find out,Were Gordon to find out,4
This is the biggest ship ----- I have ever seen.,whose,what,that,whom,3
I wonder if it ----- fine tomorrow.,is,will be,were,be,2
The cook was ----- that we didn’t want to complain about the poor service.,such a nice man,so kindness a man,such nice a man,so kindness of a man,1
"If I had followed your advice, I ----- happier now.",will be,was,am,would be,4
"If it is fine tomorrow, we ----- fishing in the lake.",went,would have gone,will go,would go,3
I could not have completed the task ----- your help.,thanks to,despite,regardless,without,4
"----- you sign up for our service, you can download any tune or show you want.",Whichever,Also,How,Once,4
"There are often special box seats at sports stadiums, ----- people can watch games with food and drinks.",whichever,wherever,where,which,3
Ghibli Museum is a place ----- I want to visit.,which,where,to where,to which,1
"He bought the cheapest bike at the store, ----- left him with $10.",only,by which,which,it,3
This is the apartment house ----- my brother used to live.,what,when,where,which,3
"If you ----- any questions after the meeting, don't hesitate to e-mail me.",will have,have,had had,had,2
The man ----- John is talking is our math teacher.,when,who,where,with whom,4
Let’s talk about some factors ----- caused the accident.,that,whose,where,what,1
"If I had taken your advice before, I ----- in such trouble now.",wouldn’t be,haven’t been,would be,would have been,1
"Nowadays no ----- where you are, you have access to the Internet.",wonder,matter,thanks,longer,2
"The mother said in a loud voice, “It’s time -----.”",you must go to bed,you will go to bed,you have gone to bed,you went to bed,4
I wish I ----- another foreign language in my college days.,learned,will have learned,had learned,should learn,3
It is time we ----- packing. We only have two hours left before we leave.,starts,started,will start,are starting,2
Mr. Bell is the person ----- I obtained the information.,to who,for what,with whose,from whom,4
A: Thank you for your email about the party for Nancy. B: Can you make it? A: -----. B: That's too bad.,I wish I hadn’t made it,I’d like to make a chocolate cake for her,I cannot wait to see her,I’m afraid not,4
What kind of person do you think you could have been if you ----- a musician?,haven’t become,shouldn’t become,wouldn’t become,hadn’t become,4
----- seems easy at first often turns out to be difficult.,What,Why,Which,That,1
The man ----- I believed was one of the executives turned out to be a part-time worker.,which,what,whose,who,4
"If I had left earlier, I ----- the rain.",can avoid,could have avoided,had avoided,will avoid,2
His mother continued talking as if nothing -----.,will happen,happened,had happened,would happen,3
"My father gave me the money. -----, I couldn't have afforded the trip.",Otherwise,For this,Nevertheless,Therefore,1
"If you have a good luck, you ----- a nice view of Mt. Fuji.",had,would have had,will have,would have,3
"If I ----- you, I wouldn’t have done such a thing.",have been,am,were,had been,4
"----- further information is available so far, but we are expecting an update within 24 hours.",Any,No,Many,Few,2
Mozart could not live life without making music. Life without music ----- meaningless to him.,can have been,will have been,would have been,need not be,3
He acted as if his life ----- over.,were,would have been,will be,was being,1
"----- my body feels fine, mentally I am very tired.",Although,In spite of,In order to,Despite,1
"The famous painter, ----- picture had been sold for ten thousand dollars, visited Japan in 2003.",who,of whom,whose,with whom,3
These are the tools ----- he built his own house.,that,with which,which,with that,2
"Even if I had gone, there was ----- chance that I would have been able to meet them anyway.",hardly,few,little,scarcely,3
"If our last batter had not hit a home run, our team ----- the game.",would win,would lose,would have won,would have lost,4
She looked ----- she had heard some bad news.,at,as if,and,though,2
She performs the folk songs not only through sign language ----- through her steps and body movements.,as,and,so,but,4
"If you had taken my advice, you ----- more successful at that time.",will have been,would be,are,would have been,4
"----- uncomfortable you may be, you are required to wear protective clothes in this laboratory.",Although,However,Despite,Because,2
I’ve already read the book ----- she lent to me.,which,what,who,whose,1
"If you ----- me what was going on, I would have told you the whole story.",had asked,have asked,asked,were to ask,1
He hardly ----- misses a meeting.,nor,ever,never,either,2
Listening to music helps some people focus ----- they study.,what,while,during,on,2
People should be aware ----- natural resources are limited.,so that,about,that,of,3
There was ----- hope of finding the missing report.,seldom,hardly no,few,little,4
The group is working to preserve old buildings that could ----- be lost.,rarely,likewise,otherwise,hardly,3
Where’s the magazine ----- you bought the other day.,which,where,who,whom,1
"If I were rich, I ----- around the world.",would travel,will travel,can travel,could have traveled,1
I wish I ----- a brother.,have,had,will have,have had,2
"Professor Sands is angry with you for being late again. If I were you, I ----- to him.",would apologize,apologized,would have apologized,will apologize,1
"If I had known you were already here waiting, I ----- earlier.",would have come,had come,will come,could not come,1
"Last winter I went to Hong Kong, ----- it wasn’t as warm as I had expected.",what,where,which,when,2
"I’m going to spend two weeks in New York, ----- my brother lives.",what,which,where,whose,3
"When I was a child, the man treated me as if I ----- his own daughter.",am,have been,will be,were,4
You'll never know ----- you try.,unless,when,that,after,1
"----- you find something wrong, make sure to contact me immediately.",Would,Could,Might,Should,4
Foreign language education combines the fields of ----- science and art.,between,neither,both,either,3
Charlie Chaplin was an actor ----- was best known for his work in silent movies.,what,whose,who,which,3
The girl ----- talking to this morning is from Canada.,whom I was,which I was,who was,I was,1
"She has a son, ----- is a college student.",who,what,whom,that,1
"Last night the old woman forgot to shut the windows in the living room, ----- she usually does.",when,that,which,what,3
"If Morley ----- a life jacket, he might have drowned in the river.",had not been wearing,had not wearing,was not wearing,were not wearing,1
There are numerous cases ----- Japanese modesty causes misunderstanding.,which,that,what,where,4
I cannot speak English at all. I wish I ----- speak it well.,must,could,can,may,2
"----- I become a university student, I will have grown four more inches.",Until,Even if,By the time,As long as,3
What would you do if you ----- a suitcase full of money?,have found,find,were to find,had found,3
You should know that a lower price doesn’t ----- mean lower quality.,necessarily,necessity,necessary,need,1
This is ----- Mr. Jobs succeeded in the personal computer business.,which,what,the way how,how,4
"I bought plastic cups for the party, so they won't break ----- the children drop them.",though,even if,despite,yet,2
She claimed strongly ----- she had never said such a stupid thing.,whom,which,that,what,3
Around two billion children live in places ----- pollution levels are too high.,in that,which,what,where,4
He talks as if he ----- everything.,knew,knows,has known,will know,1
We should not dismiss these ideas just ----- they are unfamiliar.,as,for,since,because,4
"If you had come ten minutes earlier, you ----- her.",will see,could have seen,could see,saw,2
"If I ----- a little younger, I would join you in climbing the mountain.",have been,had been,were,am,3
"Even if the sun ----- rise in the west, he would never stop loving his wife.",were to,was going,will,might,1
"It was raining, ----- they went out for hiking.",rather,because,in spite of,but,4
You may have ----- soup or salad with your dinner.,both,neither,either,a choice,3
----- he told me was a lie.,That,When,What,Where,3
I feel hungry now. I wish I ----- something before I left home.,hadn’t eaten,had eaten,ate,have eaten,2
"----- your timely advice, I would have failed to deal with this matter.",Despite,Apart from,Instead of,But for,4
He was annoyed by hotels ----- made guests pay for web access.,where,that,who,when,2
Wait ----- you get home before you open this gift box.,to,when,after,until,4
"If I ----- her advice at that time, I might be out of work now.",had not accepted,have not accepted,don’t accept,wouldn’t accept,1
"Thank you, Hiromi.  This book is exactly ----- I wanted.",what,that,whose,which,1
I have a friend ----- father is a lawyer.,who,whom,which,whose,4
I have a friend ----- wants to be an astronaut.,whose,who,whom,which,2
"John ----- the team if he had time, but he is really busy now.",joins,have joined,would join,joined,3
A report ----- the area was dangerous was ignored by the residents.,what,that,concerning,which,2
"He didn’t cry, ----- was very brave on his part.",which,what,where,who,1
The dress ----- Ann bought is so cute.,whose,which,when,who,2
You must not forget that all ----- glitters is not gold.,whose,which,it,that,4
"It is getting dark, and ----- was worse, it began to snow.",where,how,as,what,4
----- I want you to think about for a moment is what happens after you do it.,When,How,What,Why,3
I wish you ----- everything about John before I talked to him.,had told me,will tell me,have told me,let me know,1
Look at the boy and his dog ----- are walking over there.,where,whose,what,that,4
She asked me ----- I could wait for her until she came back.,if,after,that,there,1
"If I ----- to be the sales manager, I would definitely promote this new product.",choose,was choosing,were chosen,had chosen,3
I didn’t like ----- the man talked.,when,how,which,where,2
"How monotonous our life would be, if it ----- not for the changes of the season.",might,should,were,be,3
"If I ----- at the station five minutes earlier, I could have caught the train.",have arrived,arrived,had arrived,have been arriving,3
"----- the traffic accident, we would have arrived earlier.",The same as,Just only,But for,Out of,3
A large portion of ----- the Japanese eat every day is imported from other countries.,whom,which,what,that,3
Timothy was greeted with a series of questions ----- he had no answers.,to which,that,which,by which,1
Please show me ----- you have in your hands.,which,that,what,where,3
The firemen had trouble getting to the street ----- the houses were on fire.,which,that,how,where,4
"At this point, Shannon wished she ----- mechanical drawing. She hated the course.",hadn’t taken,were to take,did take,wouldn’t take,1
This is a photo ----- was taken 100 years ago.,where,which,when,what,2
I met a girl ----- mother is a well-known astronomer.,whose,whom,who,which,1
"If the train had not been late, I ----- in time for the concert yesterday.",would not have been,would have been,would not be,would be,2
Jack ----- misses an opportunity to play in the badminton tournaments.,hardly ever,seldom ever,rarely ever,scarce ever,1
The teacher ----- teaches us English comes from Canada.,which,whose,whom,who,4
It's been quite a while ----- we saw each other.,because,though,that,since,4
----- coffee or tea is fine with me.,Both,Whether,Either,Neither,3
The era will soon come ----- what scientists are saying will come true.,when,to,which,where,1
"That is the position for ----- Mr. Kato has applied, but a final decision has not been made.",which,what,that,whom,1
Christmas is the day ----- the whole family gets together.,whose,that,what,when,4
----- created this program is a genius.,Anyone,What,Whoever,Who,3
"----- you have any problem regarding our products, please feel free to contact us.",Should,Would,May,Could,1
"If it -----, let’s go hiking tomorrow.",won’t rain,doesn’t rain,had not rained,didn’t rain,2
"----- birds, the world would be filled with insects.",Were it not for,If there were,If it had not been for,Had there been,1
"I visited the website of an Italian food shop, ----- I ordered an excellent olive oil.",which,when,where,what,3
"If he had lived one day longer, he ----- one hundred years old.",has had become,becomes,will have become,would have become,4
"If I ----- his telephone number, I would call him.",could know,knew,know,had known,2
"If I ----- him earlier, my life would have been different.",met,meet,had met,have met,3
"----- I go to Hawaii, I always stay at the same hotel.",Whichever,Whatever,Whenever,Wherever,3
This is the book ----- I told you yesterday.,whose,where,about which,what,3
She would like to live in a county ----- it never snows.,whose,who,where,which,3
I was standing there lost in thought ----- I was called from behind.,if,when,whom,who,2
"If he ----- his money in stocks, he would be a millionaire now.",had invested,invested,has invested,invest,1
The woman ----- we saw in the park was Aya’s sister.,whom,which,whose,when,1
That was the reason ----- stopped them from moving to the city.,because,which,for,why,2
The coach said that ----- practiced hard.,all no the players,all not the players,no all the players,not all the players,4
"If you ----- at ten tomorrow, the president will meet you.",will come,came,had come,come,4
There was a horrible picture of a man ----- leg had been blown off.,that,which,who,whose,4
I ----- do that if I were you.,don’t,can’t,wouldn’t,won’t,3
Lisa will marry ----- she believes is reliable.,whatever,however,whenever,whoever,4
"If I had known about the defect of the product, I ----- buying it.",would avoid,will avoid,had avoided,would have avoided,4
I would be really surprised if he ----- elected mayor next year.,were to be,had been,has  been,would have been,1
Discounted season passes are now available to fans ----- want to see a large number of events at the Sapporo Dome.,where,when,what,who,4
What would Kate do if she ----- truth?,can know,has known,would know,knew,4
"If it ----- tomorrow, I would stay at home.",should snow,will snow,snows,snow,1
Do you remember the teacher ----- daughter became an attorney?,who,whose,which,that,2
I wish it ----- raining soon so we could start our game again.,will stop,has stopped,would stop,had stopped,3
"If you ----- get lost in town, use this mobile phone.",will,would,could,should,4
"----- the sun rises in the east, Japan has long been called the land of the rising sun.",For,Since,When,If,2
They’ve ----- eaten anything. Aren’t they hungry?,almost,little,failed to,hardly,4
"If I ----- a camera, I could have taken some beautiful pictures.",have,had had,had,were to have,2
I wish I ----- you when I was in high school.,knew,know,had known,have known,3
It will not be long ----- she becomes a professional golf player.,soon,before,during,recently,2
"Without American influences, Japanese culture would not be ----- it is today.",what,which,when,that,1
My mother asked me ----- I wanted to go shopping with her or not.,whether,when,why,what,1
I am sorry to hear that you didn't win the game. If ----- you had practiced harder.,necessary,ever,only,that,3
“Smartphone” is a word ----- we are all familiar.,in which,with which,for which,of which,2
